"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"19","Atlas Copco A","22,2%","8%","23,8","38,5","-2,73","7,8","5,1","898847","47,5","-1,2%","-2,3%","1,3%"
"1605","Atlas Copco B","22,2%","8%","20,8","33,8","-2,73","6,9","4,4","786706","45,4","-1,1%","-1,5%","-0,6%"
"20","Atrium Ljungberg","2,0%","39%","32,9","45,3","-1,93","0,8","4,6","24033","41,7","-1,8%","-10,1%","-11,1%"
"1675","Attana","-100,9%","35%","-1,0","-0,5","-0,00","0,2",,"7","44,8","1,7%","-85,0%","0,0%"
"920","Attendo","2,3%","63%","18,1","21,2","-7,90","1,8","1,0","10006","68,5","2,4%","13,2%","19,7%"
"21","Autoliv","16,8%","20%","9,4","18,6","-7,04","3,4","0,3","84449","49,3","0,8%","-1,8%","-5,3%"
"22","Avanza Bank","0,7%",,"19,3","18,1","-7,68","8,0","1,7","50630","48,5","-2,9%","18,3%","1,5%"
"1557","Awardit","-38,8%","-18%","-8,7","7,6","2,10","2,6",,"1074","47,3","0,4%","-1,6%","0,8%"
"263","Avensia","29,0%","-19%","11,8","6,4","-0,00","8,6","0,0","356","71,3","8,1%","0,0%","12,2%"
"2151","Avsalt Group","-998,7%","-18%","-0,1","-0,3","2,77","1,0",,"6","41,7","-0,3%","-81,7%","-5,6%"
"264","Avtech","64,0%","-53%","33,2","38,4",,"8,9","0,8","419","61,1","3,4%","21,3%","16,3%"
"24","Axfood","10,2%","42%","19,5","28,2","-14,81","7,0","-3,2","49462","41,2","-0,9%","-9,4%","-5,7%"
"369","aXichem","-35,9%","-5%","-2,8","-2,9","-0,09","0,8",,"71","42,0","-3,6%","-0,3%","-3,2%"
"1754","Axolot Solutions","-27,5%","-10%","-9,6","-3,4","-0,06","0,9",,"99","69,4","12,4%","-9,5%","33,1%"
"1313","B3 Consulting","17,9%","30%","33,3","-26,5","-2,04","2,6","0,2","609","40,1","-4,8%","-8,5%","-6,4%"
"2067","Backaheden","4,6%","51%","24,2","-12,0","-19,43","0,7","6,3","333","59,9","1,2%","-1,0%","6,5%"
"377","Bactiguard","-11,6%","17%","-48,8","137,9","-0,42","3,9",,"1297","66,4","8,0%","-33,7%","8,8%"
"520","Bahnhof","190,1%","-39%","19,5","37,8","-0,53","10,1","9,5","5755","45,0","-1,9%","2,1%","-1,1%"
"1517","Balco Group","0,1%","20%","33,0","-110,5","-4,16","1,0","-2,0","826","40,9","-4,7%","-5,6%","-7,4%"
"1450","Bambuser","-427,7%","-70%","0,4","0,5","-0,04","0,7",,"138","48,8","-16,2%","-22,7%","-5,6%"
"2376","Bawat Water","-166,2%","122%","-3,6","-2,6","-0,12","-1,7",,"66","43,5","-5,0%","-34,9%","-17,6%"
"27","BE Group","-2,0%","26%","-28,0","65,4","-7,00","0,4",,"606","52,6","0,6%","-10,9%","1,6%"
"2373","BeammWave","-57,9%","-44%","-2,9","-1,8","-0,59","1,3",,"141","40,8","-4,7%","22,3%","-17,4%"
"29","Beijer Alma","9,4%","28%","13,4","609,1","-10,85","2,6","0,4","11956","64,8","2,2%","-7,0%","13,9%"
"28","Beijer Ref","6,9%","21%","25,6","261,3","-5,36","3,4","-3,5","81708","40,5","-1,4%","-1,6%","-3,3%"
